$ tsx tools/smoke-endpoints.mts --base http://127.0.0.1:3100
smoke: 8 service(s), tenant 01a0baa2-26bc-75bc-aaac-acd319cf8525, database dos_test_b2_d175
       destructive procedures are skipped (pass --destructive to include them)

── auth-service ────────────────────────────────────────────────────────────────────────────────────────────
METHOD  PATH                                           STATUS MS     CLASS    MESSAGE
GET     /reporting/series/top-shops                    200    19     OK       
GET     /reporting/series/top-beats                    200    7      OK       
GET     /reporting/series/productivity                 200    5      OK       
GET     /reporting/series/fill-rate                    200    5      OK       
GET     /reporting/series/delivery-performance         200    2      OK       
GET     /reporting/series/stock                        200    5      OK       
GET     /reporting/series/gross-margin                 200    3      OK       
GET     /reporting/series/scheme-spend                 200    2      OK       
GET     /reporting/registers/daily-sales               200    4      OK       
GET     /reporting/registers/rep-daily                 200    3      OK       
GET     /reporting/retailers/{id}/behaviour            200    3      OK       
GET     /reporting/retailers/{id}/series               200    4      OK       
GET     /reporting/retailers/lapsed                    200    4      OK       
GET     /reporting/registers/rep-productivity          200    4      OK       
GET     /reporting/registers/scheme-spend              200    5      OK       
GET     /reporting/registers/stock-value               200    11     OK       
GET     /reporting/registers/fill-rate                 200    5      OK       
GET     /reporting/registers/delivery-performance      200    8      OK       
GET     /reporting/registers/collections               200    4      OK       
GET     /reporting/registers/gst-sales                 200    4      OK       
GET     /reporting/registers/gst-purchase              200    5      OK       
POST    /reporting/exports                             200    5      OK       
GET     /reporting/exports/{id}                        200    3      OK       
POST    /incentives/targets                            200    3      OK       
GET     /incentives/targets                            200    4      OK       
POST    /incentives/targets/bulk                       200    4      OK       
POST    /incentives/targets/what-if                    200    0      OK       
GET     /incentives/targets/{id}                       200    4      OK       
POST    /incentives/targets/{id}/remove                200    4      OK       
POST    /incentives/targets/{id}/refresh               200    3      OK       
GET     /incentives/progress                           403    2      EXPECTED the owner role may not call GET /incentives/progress
GET     /incentives/progress/team                      200    5      OK       
POST    /incentives/statements/compute                 200    3      OK       
POST    /incentives/statements/{id}/approve            200    3      OK       
POST    /incentives/statements/{id}/reopen             200    3      OK       
GET     /incentives/statements/{id}                    200    3      OK       
GET     /incentives/statements                         200    4      OK       
POST    /ai/intake/text                                200    32     OK       
POST    /ai/intake/voice                               200    44     OK       
GET     /ai/drafts                                     200    5      OK       
GET     /ai/drafts/{id}                                200    5      OK       
POST    /ai/drafts/{id}/confirm                        200    38     OK       
POST    /ai/drafts/{id}/reject                         200    11     OK       
POST    /ai/forecast/run                               200    5      OK       
GET     /ai/forecast                                   200    7      OK       
POST    /ai/routing/trips/{tripId}/plan                200    11     OK       
GET     /ai/routing/trips/{tripId}/plan                200    7      OK       
POST    /ai/routing/trips/{tripId}/plan/apply          409    8      EXPECTED a route plan has already been applied to this trip
POST    /receipts/deposit                              200    4      OK       
POST    /docint/documents/{id}/reject                  200    5      OK       
POST    /receipts/{id}/reverse                         200    5      OK       
   owner: 302 OK · 18 expected · 0 BROKEN · 21 skipped  (of 341)

── manager-service ─────────────────────────────────────────────────────────────────────────────────────────
METHOD  PATH                                           STATUS MS     CLASS    MESSAGE
POST    /delivery/vehicles                             200    18     OK       
POST    /docint/documents                              200    13     OK       
POST    /delivery/trips                                200    33     OK       
POST    /docint/documents/{id}/pages/upload-urls       200    6      OK       
POST    /delivery/trips/{id}/stops/reorder             200    20     OK       
POST    /docint/documents/{id}/pages                   200    11     OK       
POST    /delivery/trips/{id}/start-loading             200    13     OK       
POST    /docint/documents/{id}/qr                      200    10     OK       
POST    /delivery/trips/{id}/depart                    200    14     OK       
POST    /docint/documents/{id}/submit                  200    43     OK       
POST    /delivery/trips/{id}/stops                     200    15     OK       
POST    /delivery/stops/{id}/start                     -      0      SKIPPED  no open stop with a bill on the throwaway trip
POST    /delivery/stops/{id}/arrive                    -      0      SKIPPED  no open stop with a bill on the throwaway trip
POST    /delivery/deliveries                           -      0      SKIPPED  no planned bill on the throwaway trip (no packed bill was free to ride on it)
POST    /delivery/deliveries/{id}/pod                  200    12     OK       
POST    /delivery/collections                          200    28     OK       
POST    /docint/extractions/{id}/matches/reject        200    6      OK       
POST    /delivery/van-sales                            409    7      EXPECTED order 99de4f90-cb0c-726e-a578-728bbec2fd7c already exists
POST    /docint/extractions/{id}/matches/accept        200    8      OK       
POST    /delivery/expenses                             200    4      OK       
POST    /docint/extractions/{id}/matches/choose        200    7      OK       
POST    /gps/points                                    200    3      OK       
POST    /docint/extractions/{id}/rematch               200    5      OK       
POST    /delivery/stops/{id}/fail                      200    10     OK       
POST    /docint/documents/{id}/extract                 200    4      OK       
POST    /docint/documents/{id}/review                  200    15     OK       
POST    /docint/review-sessions/{id}/heartbeat         200    3      OK       
POST    /docint/review-sessions/{id}                   200    4      OK       
POST    /docint/review-sessions/{id}/submit            400    9      EXPECTED 1 red check(s) still fail; fix them before submitting
POST    /docint/review-sessions/{id}/release           200    8      OK       
POST    /delivery/trips/{id}/return                    200    15     OK       
POST    /docint/documents/{id}/approve                 200    11     OK       
GET     /delivery/trips/{id}/settlement                200    6      OK       
POST    /delivery/trips/{tripId}/settle                200    13     OK       
GET     /delivery/trips/{id}/trace                     200    3      OK       
GET     /delivery/trips/{id}                           200    7      OK       
GET     /delivery/trips/{id}/next-stop                 200    1      OK       
GET     /delivery/deliveries                           200    10     OK       
GET     /delivery/deliveries/{id}                      200    6      OK       
GET     /health/ping                                   200    1      OK       
GET     /tenancy/me                                    200    4      OK       
GET     /tenancy/staff                                 200    4      OK       
POST    /tenancy/staff                                 200    31     OK       
POST    /tenancy/staff/update                          200    11     OK       
