$ tsx tools/smoke-endpoints.mts --base http://127.0.0.1:3100 --run-tag whrules-1
smoke: 8 service(s), tenant 01a0999a-28c3-7341-93f5-e0e84b0189a1, database dos_test_b2_warehouse_rules
       destructive procedures are skipped (pass --destructive to include them)

── auth-service ────────────────────────────────────────────────────────────────────────────────────────────
METHOD  PATH                                           STATUS MS     CLASS    MESSAGE
GET     /reporting/series/stock                        200    4      OK       
GET     /reporting/series/gross-margin                 200    4      OK       
GET     /reporting/series/scheme-spend                 200    4      OK       
GET     /reporting/registers/daily-sales               200    3      OK       
GET     /reporting/registers/rep-daily                 200    4      OK       
GET     /reporting/retailers/{id}/behaviour            200    4      OK       
GET     /reporting/retailers/{id}/series               200    4      OK       
GET     /reporting/retailers/lapsed                    200    6      OK       
GET     /reporting/registers/rep-productivity          200    4      OK       
GET     /reporting/registers/scheme-spend              200    20     OK       
GET     /reporting/registers/stock-value               200    29     OK       
GET     /reporting/registers/fill-rate                 200    10     OK       
GET     /reporting/registers/delivery-performance      200    32     OK       
GET     /reporting/registers/collections               200    7      OK       
GET     /reporting/registers/gst-sales                 200    11     OK       
GET     /reporting/registers/gst-purchase              200    6      OK       
POST    /reporting/exports                             200    19     OK       
GET     /reporting/exports/{id}                        200    2      OK       
POST    /incentives/targets                            200    27     OK       
GET     /incentives/targets                            200    10     OK       
POST    /incentives/targets/bulk                       200    12     OK       
POST    /incentives/targets/what-if                    200    4      OK       
GET     /incentives/targets/{id}                       200    5      OK       
POST    /incentives/targets/{id}/remove                200    8      OK       
POST    /incentives/targets/{id}/refresh               200    5      OK       
GET     /incentives/progress                           403    3      EXPECTED the owner role may not call GET /incentives/progress
GET     /incentives/progress/team                      200    5      OK       
POST    /incentives/statements/compute                 200    10     OK       
POST    /incentives/statements/{id}/approve            200    9      OK       
POST    /incentives/statements/{id}/reopen             200    7      OK       
GET     /incentives/statements/{id}                    200    4      OK       
GET     /incentives/statements                         200    5      OK       
POST    /ai/intake/text                                200    41     OK       
POST    /ai/intake/voice                               200    52     OK       
GET     /ai/drafts                                     200    6      OK       
GET     /ai/drafts/{id}                                200    5      OK       
POST    /ai/drafts/{id}/confirm                        200    33     OK       
POST    /ai/drafts/{id}/reject                         200    7      OK       
POST    /ai/forecast/run                               200    6      OK       
GET     /ai/forecast                                   200    6      OK       
POST    /ai/routing/trips/{tripId}/plan                200    8      OK       
GET     /ai/routing/trips/{tripId}/plan                200    5      OK       
POST    /ai/routing/trips/{tripId}/plan/apply          200    19     OK       
POST    /receipts/deposit                              200    8      OK       
POST    /docint/documents/{id}/reject                  200    8      OK       
POST    /receipts/{id}/reverse                         200    19     OK       
   owner: 305 OK · 14 expected · 1 BROKEN · 21 skipped  (of 341)

